rank,domain,title,has_iso_27001,has_soc_2,has_csa_star,total_claimed_attestations,attestation_audit_status,pages_inspected,attestation_evidence,score_tls_transport,score_dns_email,score_http_headers,score_pki_cert,d_vpf_technical_score,dmarc_policy,hsts_present,csp_present,tls_validation_status,cert_lifespan_days,cert_max_allowed_days,key_type,key_bits,http_probe_status,dns_probe_status
566,eset.com,"ESET Cybersecurity | Enterprise, Business and Home Solutions | ESET",0,0,0,0,observed,https://www.eset.com/us/;https://security.eset.com/,,18,5,25,25,73,None,True,True,verified,89,200,RSA,3072,observed,observed
591,klaviyo.com,Klaviyo: AI Email Marketing & SMS | B2C CRM,1,1,0,2,observed,https://www.klaviyo.com/;https://www.klaviyo.com/security;https://www.klaviyo.com/trust;https://trust.klaviyo.com/;https://www.klaviyo.com/,https://www.klaviyo.com/security;https://www.klaviyo.com/,20,5,15,25,65,None,True,False,verified,394,398,RSA,2048,observed,observed
594,dreamhost.com,Web Hosting Built for Growth - DreamHost,0,0,0,0,observed,https://www.dreamhost.com/;https://www.dreamhost.com/features/security/;https://www.dreamhost.com/features/security/;https://www.dreamhost.com/features/private-registration/,,15,5,0,25,45,None,False,False,verified,197,200,RSA,2048,observed,observed
605,bitdefender.net,Bitdefender - Global Leader in Cybersecurity Software,0,0,0,0,observed,https://www.bitdefender.com/en-us/;https://www.bitdefender.com/en-us/;https://www.bitdefender.com/en-us/;https://www.bitdefender.com/en-us/;https://www.bitdefender.com/en-us/;https://www.bitdefender.com/en-us/;https://www.bitdefender.com/en-us/;https://www.bitdefender.com/en-us/;https://www.bitdefender.com/en-us/;https://www.bitdefender.com/en-us/consumer/small-business-security;https://www.bitdefender.com/en-us/consumer/security-for-creators;https://www.bitdefender.com/en-us/consumer/total-security;https://www.bitdefender.com/en-us/consumer/premium-security,,20,5,20,25,70,None,True,True,verified,396,398,RSA,2048,observed,observed
622,onetrust.com,Responsible AI Governance & Compliance Solutions | OneTrust,1,1,0,2,observed,https://www.onetrust.com/;https://www.onetrust.com/;https://www.onetrust.com/trust/;https://www.onetrust.com/error-pages/404/;https://www.onetrust.com/error-pages/404/;https://www.onetrust.com/error-pages/404/;https://www.onetrust.com/error-pages/404/;https://www.onetrust.com/error-pages/404/;https://www.onetrust.com/resources/onetrust-2026-ai-ready-governance-report/;https://www.onetrust.com/solutions/ai-governance/;https://www.onetrust.com/solutions/consent-and-preferences/;https://www.onetrust.com/solutions/data-use-governance/,https://www.onetrust.com/trust/,20,5,15,25,65,None,True,True,verified,90,200,EC-secp256r1,256,observed,observed
639,branch.io,Mobile Measurement & Deep Linking Platform | Branch,1,1,0,2,observed,https://www.branch.io/;https://www.branch.io/security/;https://www.branch.io/products/;https://www.branch.io/advanced-compliance/;https://trust.branch.io/,https://www.branch.io/;https://trust.branch.io/,18,10,15,25,68,None,True,False,verified,197,200,RSA,2048,observed,observed
661,redhat.com,Red Hat - We make open source technologies for the enterprise,0,0,0,0,observed,https://www.redhat.com/en;https://www.redhat.com/en/solutions/security-approach;https://www.redhat.com/en/trust;https://www.redhat.com/en/about/agreements;https://www.redhat.com/en/solutions/security-and-compliance-approach;https://www.redhat.com/en/partners/certified-cloud-and-service-providers;https://www.redhat.com/en/services/certifications;https://www.redhat.com/en/services/training-and-certification,,18,10,25,25,78,None,True,True,verified,198,200,RSA,4096,observed,observed
735,globalsign.com,Digital Certificates - PKI - SSL/TLS 🌎 GlobalSign GMO,0,0,0,0,observed,https://www.globalsign.com/en;https://www.globalsign.com/en/products;https://www.globalsign.com/en/enterprise/management-automation/certificate-lifecycle-management;https://www.globalsign.com/en/atlas-discovery-certificate-management;https://www.globalsign.com/en/acme-automated-certificate-management;https://www.globalsign.com/en/enterprise/management-automation/certificate-automation-manager,,15,10,5,25,55,None,False,False,verified,199,200,RSA,2048,observed,observed
802,visma.com,Visma | We own and shape business software companies into market leaders.,0,0,0,0,observed,https://www.visma.com/;https://www.visma.com/trust-centre;https://www.visma.com/trust-centre;https://www.visma.com/ethics-and-compliance;https://www.visma.com/website-privacy-statements;https://www.visma.com/ethics-and-compliance/transparency-act,,18,5,0,25,48,None,True,False,verified,90,200,EC-secp256r1,256,observed,observed
822,zoho.com,Zoho | Cloud Software Suite for Businesses,0,0,0,0,observed,https://www.zoho.com/;https://www.zoho.com/security.html;https://www.zoho.com/privacy-commitment.html,,20,10,13,25,68,None,True,True,verified,395,398,RSA,2048,observed,observed
